street,district,rooms,area,price,material,condition,year_built,total_floors
Tuukri tn 64-51,Kadriorg,4.0,121.9,289000,kivimaja,uus,2018.0,5.0
Virbi tn 4,Lasnamäe,2.0,52.4,78600,kivimaja,san. remont tehtud,1992.0,14.0
Arbu 12,Lasnamäe,1.0,32.8,61000,paneelmaja,keskmises seisukorras,1981.0,9.0
Tuulemaa 15,Põhja-Tallinn,3.0,69.1,125000,kivimaja,heas korras,1956.0,3.0
Toom-Kuninga 15-96,Kesklinn,3.0,63.5,215000,paneelmaja,uus,2019.0,8.0
Lauteri 1,Kesklinn,2.0,54.2,135000,kivimaja,san. remont tehtud,1958.0,5.0
Narva mnt. 86-5,Kadriorg,2.0,52.4,157150,kivimaja,uus,2019.0,4.0
Astangu 20-135,Haabersti,3.0,62.6,127400,paneelmaja,uus,2019.0,5.0
Astangu 48,Haabersti,3.0,68.0,77900,paneelmaja,san. remont tehtud,1974.0,5.0
Jalami tn 1-33,Haabersti,2.0,50.7,111400,paneelmaja,uus,2019.0,8.0
Liikuri 5-40,Lasnamäe,3.0,66.6,147000,paneelmaja,uus,2020.0,8.0
Sõle 47,Põhja-Tallinn,2.0,48.9,85000,kivimaja,vajab renoveerimist,1976.0,9.0
Pirita tee 20a-A31,Kesklinn,2.0,67.2,215000,paneelmaja,uus,2017.0,10.0
Pille 7/5-9,Kesklinn,2.0,48.9,145900,paneelmaja,uus,2019.0,4.0
Remmelga tn 4-3,Nõmme,4.0,83.9,174900,kivimaja,uus,2020.0,4.0
Vikerlase tn 15,Lasnamäe,1.0,34.8,56500,paneelmaja,keskmises seisukorras,1982.0,9.0
Mahtra 72,Lasnamäe,2.0,50.0,71000,paneelmaja,keskmises seisukorras,1983.0,9.0
Valge 6A/1-4,Lasnamäe,5.0,137.2,453000,kivimaja,uus,2020.0,3.0
Retke tee 28,Mustamäe,3.0,64.8,89900,paneelmaja,vajab renoveerimist,1971.0,5.0
Magasini 3A,Kesklinn,1.0,28.0,65500,palkmaja,renoveeritud,1931.0,2.0
Ümera,Lasnamäe,2.0,52.6,79500,paneelmaja,renoveeritud,1986.0,5.0
Vesivärava 28a,Kadriorg,4.0,106.0,249000,puitmaja,uus,1925.0,3.0
Sõle 46,Põhja-Tallinn,2.0,43.1,73000,kivimaja,renoveeritud,1964.0,5.0
Liikuri 5-49,Lasnamäe,1.0,33.5,97000,paneelmaja,uus,2020.0,8.0
Pae 9,Lasnamäe,2.0,45.8,74900,paneelmaja,uus,1961.0,5.0
Pille 9/3-67,Kesklinn,3.0,79.2,212900,paneelmaja,uus,2020.0,6.0
Oja 61,Haabersti,3.0,76.1,130000,kivimaja,renoveeritud,2003.0,4.0
Pille 7/1-11,Kesklinn,3.0,68.6,194900,paneelmaja,uus,2019.0,6.0
Läänemere tee 22,Lasnamäe,3.0,66.5,75000,paneelmaja,vajab renoveerimist,1989.0,5.0
Raua 45,Kesklinn,3.0,126.6,230000,puitmaja,renoveeritud,1952.0,3.0
Tammsaare tee 103,Mustamäe,3.0,64.2,93000,paneelmaja,renoveeritud,1968.0,5.0
Õismäe tee 56,Haabersti,3.0,65.6,106950,paneelmaja,heas korras,1975.0,9.0
Aiandi 5/2-17,Mustamäe,3.0,57.1,129990,kivimaja,uus,2020.0,4.0
Suur-Ameerika tn 37,Kesklinn,1.0,27.0,58000,kivimaja,vajab renoveerimist,1962.0,5.0
Valge tn 16-61,Lasnamäe,1.0,28.8,87000,kivimaja,uus,2020.0,5.0
Kadaka pst 140,Mustamäe,2.0,47.0,120000,paneelmaja,uus,2015.0,7.0
Kauna tn 3a,Kesklinn,5.0,164.6,501600,kivimaja,uus,2018.0,2.0
Kase 68/1,Pirita,2.0,60.5,129000,kivimaja,san. remont tehtud,2006.0,5.0
Telliskivi tn 41-6,Põhja-Tallinn,2.0,43.5,150000,kivimaja,uus,2019.0,3.0
F. J. Wiedemanni tn // Vesivärava tn 19,Kesklinn,3.0,82.9,227000,kivimaja,heas korras,2004.0,4.0
Rotermanni 5,Kesklinn,3.0,86.5,274000,kivimaja,uus,2007.0,7.0
Pille 7/2-12,Kesklinn,3.0,68.6,194900,paneelmaja,uus,2019.0,6.0
Tõnismägi 11a-42,Kesklinn,2.0,52.5,149000,kivimaja,uus,2019.0,6.0
Priisle tee 30-41,Lasnamäe,1.0,36.9,82000,paneelmaja,uus,2019.0,3.0
Tartu mnt 30,Kesklinn,4.0,106.4,169000,kivimaja,heas korras,1953.0,4.0
Vana-Viru 13,Kesklinn,2.0,59.8,215000,paneelmaja,uus,2010.0,6.0
Sakala 18,Kesklinn,4.0,116.9,340000,kivimaja,uus,2002.0,7.0
Raua 65-1,Kadriorg,3.0,75.9,230000,kivimaja,renoveeritud,2019.0,5.0
Köleri 14-3,Kadriorg,4.0,115.9,307000,puitmaja,uus,2019.0,3.0
Priisle tee 4/2,Lasnamäe,3.0,65.3,105000,paneelmaja,vajab san. remonti,2007.0,8.0
Pille 9/3-65,Kesklinn,3.0,68.3,191900,paneelmaja,uus,2020.0,6.0
Sääse 7,Mustamäe,4.0,60.1,91000,paneelmaja,renoveeritud,1970.0,5.0
Vabaõhumuuseumi tee 4B,Haabersti,3.0,75.3,179900,paneelmaja,uus,2004.0,4.0
Majaka 15,Lasnamäe,3.0,51.0,92000,kivimaja,heas korras,1960.0,5.0
Poordi 3-67,Kesklinn,3.0,112.0,399000,kivimaja,uus,2017.0,7.0
Siili tn 7a,Mustamäe,3.0,57.5,98500,kivimaja,renoveeritud,1985.0,5.0
Ümera 28b,Lasnamäe,1.0,34.7,69800,paneelmaja,uus,2020.0,9.0
Liikuri 18c-56,Lasnamäe,2.0,40.4,99790,kivimaja,uus,2020.0,7.0
Hagudi 22-19,Kesklinn,2.0,50.0,123000,kivimaja,uus,2018.0,1.0
Toom-Kuninga 15-13,Kesklinn,3.0,64.1,185000,paneelmaja,uus,2019.0,8.0
Kuninga 1,Vanalinn,4.0,94.7,420000,kivimaja,heas korras,1219.0,3.0
Vabaduse pst 209,Nõmme,1.0,36.6,57000,kivimaja,renoveeritud,1968.0,12.0
Võidujooksu 1,Kadriorg,1.0,37.8,119000,kivimaja,heas korras,2014.0,5.0
Vabaõhumuuseumi tee 1-14,Haabersti,4.0,154.2,698000,kivimaja,keskmises seisukorras,2017.0,8.0
