street,district,rooms,area,price,material,condition,year_built,total_floors
Taela 4b,Haabersti,4.0,181.5,210900,kivimaja,heas korras,1995.0,2.0
Jahu 6-6/3-90,Põhja-Tallinn,2.0,55.7,190500,paneelmaja,uus,2019.0,6.6790013374944275
paekaare 24,Lasnamäe,2.0,46.3,79999,paneelmaja,heas korras,1978.0,5.0
Pärnu mnt 130-50,Kesklinn,3.0,101.2,185000,kivimaja,keskmises seisukorras,2008.0,8.0
K. Türnpu 11,Kesklinn,3.0,71.7,135000,puitmaja,keskmises seisukorras,1932.0,3.0
Linnamäe 32,Lasnamäe,2.0,52.6,84990,paneelmaja,renoveeritud,1986.0,5.0
Lastekodu 22,Kesklinn,1.0,30.0,75000,kivimaja,renoveeritud,1983.0,5.0
Liikuri 18c-37,Lasnamäe,2.0,46.8,106790,kivimaja,uus,2020.0,7.0
Valge 6A/2-24,Lasnamäe,2.0,48.5,151000,kivimaja,uus,2020.0,4.0
Raua 65-10,Kadriorg,4.0,122.0,342000,kivimaja,uus,2019.0,5.0
Keava 7-11,Kesklinn,3.0,61.6,178000,kivimaja,uus,2020.0,3.0
Võidujooksu 7-37,Lasnamäe,2.0,44.5,109290,kivimaja,uus,2020.0,7.0
Männiku tee 76,Nõmme,3.0,83.2,160000,puitmaja,uus,2018.0,3.0
Lai 32,Vanalinn,3.0,101.1,340000,kivimaja,renoveeritud,1926.0,3.0
Retke tee 17,Mustamäe,2.0,48.1,109900,paneelmaja,uus,2004.0,4.0
Paasiku 24,Lasnamäe,2.0,32.8,69500,paneelmaja,renoveeritud,1990.0,5.0
Luise 17/2-7,Kesklinn,2.0,52.9,171925,kivimaja,uus,2020.0,3.0
Sõpruse 218,Mustamäe,1.0,29.9,60000,paneelmaja,keskmises seisukorras,1968.0,5.0
Järveotsa tee 45,Haabersti,3.0,65.8,80000,paneelmaja,vajab renoveerimist,1977.0,9.0
F. R. Kreutzwaldi tn 3,Kadriorg,2.0,61.9,181000,kivimaja,uus,2014.0,7.0
Jalami 1,Haabersti,3.0,69.4,148000,kivimaja,uus,2020.0,8.0
Valge tn 16-75,Lasnamäe,2.0,39.5,110000,kivimaja,uus,2019.0,5.0
Koorti 2,Lasnamäe,4.0,80.5,109900,paneelmaja,heas korras,1980.0,9.0
Tagala 10-24,Haabersti,3.0,66.8,129000,kivimaja,uus,2019.0,4.0
Järve 2-186,Kristiine,3.0,65.4,195200,paneelmaja,uus,2020.0,18.0
Merekalju tänav 5-3,Haabersti,4.0,117.3,399000,kivimaja,uus,2020.0,3.0
Ehitajate tee 86,Mustamäe,2.0,43.2,79000,kivimaja,san. remont tehtud,1980.0,9.0
Valge 6A/2-7,Lasnamäe,2.0,55.3,137000,kivimaja,uus,2020.0,4.0
Pöörise 7-57,Mustamäe,3.0,64.0,135000,paneelmaja,uus,2020.0,12.0
Killustiku 12,Lasnamäe,3.0,57.0,98000,kivimaja,renoveeritud,1949.0,2.0
Sipelga 2,Mustamäe,4.0,112.0,229000,paneelmaja,uus,2015.0,8.0
Päevalille 4-53,Haabersti,3.0,58.0,139900,paneelmaja,uus,2020.0,15.0
Võistluse 6-20,Kesklinn,3.0,73.4,202300,kivimaja,uus,2019.0,14.0
Tõnismägi 11a-54,Kesklinn,4.0,88.5,315000,kivimaja,uus,2019.0,7.0
J. Sütiste tee 54,Mustamäe,4.0,60.2,89900,paneelmaja,keskmises seisukorras,1968.0,5.0
Luise 17/2-13,Kesklinn,5.0,146.8,440400,kivimaja,uus,2020.0,3.0
Tagala 10B-33,Haabersti,3.0,66.8,124000,kivimaja,uus,2019.0,4.0
Valge 6A/1-1,Lasnamäe,4.0,119.5,317000,kivimaja,uus,2020.0,3.0
Soodi 4,Põhja-Tallinn,2.0,52.8,146900,kivimaja,uus,2020.0,5.0
Keava 7-2,Kesklinn,2.0,33.3,101000,kivimaja,uus,2020.0,3.0
Liikuri 18c-14,Lasnamäe,3.0,53.3,130290,kivimaja,uus,2020.0,7.0
Pärnu mnt 110,Kesklinn,3.0,73.8,159000,kivimaja,uus,2006.0,6.0
Tartu mnt 84a,Kesklinn,3.0,97.6,350000,kivimaja,heas korras,2006.0,14.0
Talviku tn 1-4,Kristiine,2.0,44.6,134000,paneelmaja,uus,2020.0,4.0
Soodi 4-28,Põhja-Tallinn,3.0,73.2,200900,kivimaja,uus,2021.0,5.0
Raekoja plats 8,Vanalinn,2.0,51.1,188000,kivimaja,heas korras,1929.0,6.0
Sõpruse pst 25,Kristiine,2.0,45.9,127000,kivimaja,heas korras,2007.0,5.0
Sõpruse pst 220,Mustamäe,2.0,43.4,74900,paneelmaja,renoveeritud,1968.0,5.0
Vikerlase 4,Lasnamäe,1.0,32.8,69900,paneelmaja,renoveeritud,1979.0,5.0
Jakobi 16/1-7,Kesklinn,2.0,33.0,119000,puitmaja,uus,2020.0,4.0
Padriku tee 9/3,Pirita,2.0,66.5,139000,kivimaja,uus,2007.0,2.0
F. R. Faehlmanni 24/2,Kesklinn,2.0,74.3,159000,puitmaja,heas korras,2014.0,3.0
Pärnu mnt 263b,Nõmme,3.0,44.7,89000,puitmaja,vajab san. remonti,1924.0,2.0
A.H. Tammsaare tee 125,Mustamäe,2.0,43.9,74000,paneelmaja,heas korras,1967.0,5.0
Lesta tn 10/2-30,Haabersti,3.0,80.2,284710,paneelmaja,uus,2019.0,3.0
Lõime 20,Põhja-Tallinn,1.0,12.5,22000,kivimaja,heas korras,1952.0,4.0
Sõpruse pst. 208,Mustamäe,2.0,48.0,92500,kivimaja,renoveeritud,1969.0,9.0
Seebi tn 1-1807,Kesklinn,2.0,37.7,149900,kivimaja,uus,2020.0,20.0
Tõnismägi 11a-8,Kesklinn,4.0,99.2,285000,kivimaja,uus,2019.0,7.0
Päevalille 2-7,Mustamäe,4.0,76.7,183900,paneelmaja,uus,2020.0,4.0
Poordi 3-60,Kesklinn,3.0,112.0,349000,kivimaja,uus,2017.0,7.0
Vilde tee 143,Mustamäe,2.0,36.0,71000,kivimaja,renoveeritud,1964.0,4.0
Pöörise 7-56,Mustamäe,2.0,45.4,102000,paneelmaja,uus,2020.0,12.0
Mahtra 22,Lasnamäe,1.0,32.6,59200,paneelmaja,san. remont tehtud,1982.0,5.0
Idakaare 2a-1,Nõmme,4.0,101.4,360000,kivimaja,uus,2020.0,3.0
Võistluse 6-116,Kesklinn,2.0,42.6,126479,kivimaja,uus,2019.0,14.0
Villardi,Kesklinn,3.0,81.0,186300,kivimaja,renoveeritud,1960.0,3.0
Rahumäe tee 6b,Kristiine,2.0,56.0,109000,paneelmaja,keskmises seisukorras,2004.0,4.0
Paepargi 50/2,Lasnamäe,2.0,61.1,132500,paneelmaja,uus,2020.0,8.0
Ümera 36,Lasnamäe,3.0,64.9,99000,paneelmaja,heas korras,1963.0,9.0
Vana-rannamõisa 1H/1,Haabersti,2.0,53.3,131000,kivimaja,uus,2013.0,4.0
Paepargi 21,Lasnamäe,1.0,34.0,92000,kivimaja,uus,2015.0,4.0
E.Vilde 78,Mustamäe,3.0,61.0,116900,paneelmaja,renoveeritud,1967.0,5.0
Orase 18,Põhja-Tallinn,2.0,78.3,190000,kivimaja,uus,1952.0,3.0
Pille 7/5-2,Kesklinn,2.0,49.2,159900,paneelmaja,uus,2019.0,4.0
Männiku tee 111-5,Nõmme,2.0,42.4,63000,puitmaja,vajab san. remonti,1939.0,2.0
Pallasti 34a,Lasnamäe,2.0,49.1,85000,kivimaja,heas korras,2002.0,5.0
Lesta tn 10/1-4,Haabersti,2.0,67.5,263250,paneelmaja,uus,2019.0,3.0
Kotkapoja 2,Kristiine,2.0,76.6,179000,paneelmaja,renoveeritud,2005.0,6.0
Võru 16,Lasnamäe,5.0,107.4,162900,paneelmaja,heas korras,1981.0,10.0
Juurdeveo 25b,Kesklinn,2.0,61.9,199900,kivimaja,uus,2018.0,4.0
Tagala 10-2,Haabersti,4.0,80.6,146000,paneelmaja,uus,2019.0,4.0
Pärnu mnt 130-51,Kesklinn,4.0,113.8,205000,kivimaja,renoveeritud,2008.0,8.0
P. Süda 9/1,Kesklinn,2.0,58.5,147500,puitmaja,renoveeritud,1928.0,3.0
Majaka 54,Kesklinn,4.0,94.5,201000,kivimaja,uus,2019.0,4.0
Mustamäe tee 191,Mustamäe,2.0,43.2,83500,paneelmaja,renoveeritud,1969.0,9.0
Ehitajate tee 37,Mustamäe,1.0,30.5,51900,paneelmaja,vajab renoveerimist,1963.0,5.0
Toom-Kuninga 15-72,Kesklinn,3.0,63.2,195000,paneelmaja,uus,2020.0,8.0
Pöörise 7-5,Mustamäe,2.0,45.0,98000,paneelmaja,uus,2020.0,12.0
Nafta 6,Kesklinn,6.0,93.4,185000,kivimaja,renoveeritud,1966.0,5.0
Kaaruti 5-11,Haabersti,2.0,49.3,113900,paneelmaja,uus,2020.0,4.0
Kase 68B,Lasnamäe,3.0,60.5,119500,paneelmaja,heas korras,2006.0,5.0
Õismäe tee 48,Haabersti,3.0,65.6,96000,paneelmaja,heas korras,1983.0,16.0
Õismäe tee 195,Haabersti,2.0,52.6,77000,paneelmaja,keskmises seisukorras,1978.0,5.0
Gonsiori 29-83,Kesklinn,2.0,46.2,95900,kivimaja,uus,2019.0,6.0
Päevalille 4-111,Haabersti,3.0,50.8,141900,paneelmaja,uus,2020.0,15.0
Pöörise 7-36,Mustamäe,3.0,53.0,118000,paneelmaja,uus,2020.0,14.0
Paepargi 50/2-3,Lasnamäe,2.0,57.8,118500,paneelmaja,uus,2020.0,8.0
Järve 2-170,Kristiine,3.0,68.7,206000,paneelmaja,uus,2020.0,18.0
Päevalille 4-69,Haabersti,3.0,50.8,129900,paneelmaja,uus,2020.0,15.0
Pärnu mnt 29-405,Kesklinn,1.0,37.5,125000,kivimaja,uus,2019.0,8.0
Tööstuse 28a-2,Põhja-Tallinn,2.0,79.7,165000,kivimaja,uus,1949.0,4.0
Tobiase 7-5,Kesklinn,4.0,92.6,250000,kivimaja,uus,2019.0,6.0
Tööstuse 43,Põhja-Tallinn,3.0,62.3,149000,kivimaja,renoveeritud,1951.0,5.0
Läänemere tee 45,Lasnamäe,3.0,64.8,94900,paneelmaja,renoveeritud,1987.0,9.0
Jahu 5-40,Kesklinn,2.0,51.8,227900,kivimaja,uus,2020.0,3.0
Pille 9/3-B55,Kesklinn,3.0,65.0,187900,paneelmaja,uus,2020.0,6.0
Kuukressi tee 5-2,Pirita,3.0,70.4,174000,kivimaja,uus,2020.0,3.0
Endla tn 90,Kristiine,3.0,69.0,124900,kivimaja,renoveeritud,1959.0,4.0
Pille 9/3-69,Kesklinn,4.0,113.9,349900,paneelmaja,uus,2020.0,6.0
Noorkuu 2,Haabersti,3.0,70.5,175000,kivimaja,uus,2018.0,4.0
Liikuri 18c-34,Lasnamäe,3.0,64.2,133290,kivimaja,uus,2020.0,7.0
Kärberi 48,Lasnamäe,4.0,80.4,99000,paneelmaja,keskmises seisukorras,1985.0,9.0
Paepargi 50/1-39,Lasnamäe,3.0,67.1,152500,paneelmaja,uus,2020.0,14.0
Toom-Kuninga 15-39,Kesklinn,3.0,67.3,190000,paneelmaja,uus,2020.0,4.0
Astangu 20-169,Mustamäe,3.0,76.6,159900,paneelmaja,uus,2019.0,5.0
Herne 8,Kesklinn,3.0,68.4,149900,kivimaja,keskmises seisukorras,1923.0,4.0
Õismäe tee 16,Haabersti,3.0,65.8,93500,kivimaja,renoveeritud,1975.0,9.0
Seebi tn 1-306,Kesklinn,3.0,68.6,224900,kivimaja,uus,2020.0,20.0
Järve 2-149,Kristiine,4.0,90.3,244300,paneelmaja,uus,2019.0,18.0
Suur-Patarei 21a,Põhja-Tallinn,2.0,45.7,109900,puitmaja,renoveeritud,1937.0,3.0
Laulupeo tn 23,Kadriorg,3.0,69.7,132000,kivimaja,renoveeritud,1959.0,4.0
Võistluse 6-3,Kristiine,3.0,70.7,163500,kivimaja,uus,2019.0,14.0
Võidujooksu 7-54,Lasnamäe,3.0,59.6,138290,kivimaja,uus,2020.0,7.0
Läänemere tee 17,Lasnamäe,1.0,33.0,53990,paneelmaja,keskmises seisukorras,1989.0,9.0
J. Sütiste tee 43,Mustamäe,2.0,43.0,72000,paneelmaja,vajab san. remonti,1972.0,9.0
Aiandi 8/1-7,Mustamäe,4.0,73.9,171990,kivimaja,uus,2021.0,8.0
Vilde tee 98,Mustamäe,3.0,60.8,105000,paneelmaja,renoveeritud,1970.0,5.0
Talli 5-36,Kristiine,4.0,87.8,229900,paneelmaja,uus,2020.0,4.0
Ehitajate tee 91/2-40,Mustamäe,2.0,36.5,95000,kivimaja,uus,2020.0,8.0
Rehe 6,Haabersti,2.0,46.4,121000,paneelmaja,uus,2019.0,4.0
Päevalille 4-45,Mustamäe,2.0,38.3,95900,paneelmaja,uus,2020.0,15.0
Roo 47,Põhja-Tallinn,2.0,38.1,83000,palkmaja,renoveeritud,1911.0,2.0
Kauba 26,Kesklinn,1.0,22.2,48500,puitmaja,renoveeritud,1915.0,2.0
Rõugu tn 24-13,Haabersti,4.0,80.7,173900,kivimaja,uus,2021.0,4.0
Sitsi 7-39,Põhja-Tallinn,1.0,19.5,41000,puitmaja,vajab renoveerimist,1904.0,2.0
Vasara tn 2b,Põhja-Tallinn,1.0,28.8,52000,kivimaja,keskmises seisukorras,1965.0,4.0
Mäepealse 20,Mustamäe,3.0,75.7,158900,paneelmaja,uus,2015.0,6.0
Sütiste tee 11-29,Mustamäe,2.0,43.7,90000,paneelmaja,renoveeritud,1970.0,5.0
Lasnamäe tn 16,Lasnamäe,4.0,104.3,283000,kivimaja,uus,2019.0,6.0
Majaka 54,Lasnamäe,4.0,90.2,199000,kivimaja,uus,2019.0,4.0
Kopli tee 40-9,Kesklinn,2.0,49.1,121500,kivimaja,uus,2020.0,3.0
Pirita tee 28a,Kesklinn,1.0,38.9,118500,kivimaja,heas korras,2008.0,11.0
uue maailma 24,Kristiine,2.0,55.3,171500,paneelmaja,heas korras,2006.0,6.0
Pärnu mnt. 62a,Kesklinn,3.0,78.0,159900,kivimaja,renoveeritud,1961.0,4.0
Priisle tee 30-4,Lasnamäe,1.0,33.8,73500,paneelmaja,uus,2019.0,3.0
Paasiku 24,Lasnamäe,1.0,32.8,69500,paneelmaja,renoveeritud,1990.0,5.0
Tagala 10-14,Haabersti,3.0,71.0,132000,kivimaja,uus,2019.0,4.0
Narva mnt 40-405,Kesklinn,1.0,21.0,102000,kivimaja,uus,1911.0,4.0
Astangu 50a/1,Haabersti,2.0,58.8,105900,kivimaja,heas korras,2014.0,5.0
Paldiski mnt 21-3,Kesklinn,2.0,63.1,174000,paneelmaja,uus,2019.0,5.0
Võru 8,Lasnamäe,2.0,32.7,74000,paneelmaja,renoveeritud,1981.0,9.0
Aiandi 8/1-41,Mustamäe,3.0,51.6,134990,kivimaja,uus,2021.0,8.0
Õismäe tee 27,Haabersti,2.0,52.8,78500,paneelmaja,renoveeritud,1972.0,5.0
Mustamäe tee 143,Mustamäe,2.0,43.8,77900,paneelmaja,heas korras,1969.0,5.0
Keava 7-15,Kesklinn,3.0,62.3,180000,kivimaja,uus,2020.0,3.0
Võidujooksu 7-41,Lasnamäe,2.0,40.1,110290,kivimaja,uus,2020.0,7.0
Pöörise 7-21,Mustamäe,3.0,63.5,132000,paneelmaja,uus,2020.0,12.0
Aiandi 8/1-10,Mustamäe,3.0,51.4,128990,kivimaja,uus,2021.0,8.0
Õismäe tee 112,Haabersti,2.0,52.8,86900,kivimaja,heas korras,1980.0,17.0
J. Kunderi tn 23/1,Kesklinn,2.0,42.8,69000,kivimaja,vajab san. remonti,1932.0,4.0
Vene tn 19,Vanalinn,4.0,127.6,299999,kivimaja,renoveeritud,1389.0,4.0
Pille 9/2-50,Kesklinn,4.0,113.9,349900,paneelmaja,uus,2020.0,6.0
Suur-Patarei 6-13,Põhja-Tallinn,3.0,61.9,248000,kivimaja,uus,2019.0,6.0
Ristiku 22-4,Põhja-Tallinn,4.0,75.4,232500,kivimaja,uus,2020.0,1.0
Uus-Tatari 16,Kesklinn,4.0,82.4,199000,kivimaja,heas korras,1983.0,5.0
Puhangu 8-57/59,Põhja-Tallinn,2.0,23.5,47900,kivimaja,heas korras,1970.0,5.0
Madala 4,Põhja-Tallinn,2.0,43.0,70000,kivimaja,vajab renoveerimist,1963.0,4.0
Astangu 20-126,Mustamäe,3.0,63.7,136900,paneelmaja,uus,2019.0,5.0
Kari 6,Põhja-Tallinn,2.0,50.5,91000,kivimaja,heas korras,1983.0,5.0
Lesta tn 10-42,Haabersti,3.0,103.0,391400,paneelmaja,uus,2019.0,3.0
Kopli tee 38-4,Kesklinn,3.0,70.3,161000,kivimaja,uus,2020.0,3.0
Tehnika 1,Põhja-Tallinn,3.0,94.5,219000,kivimaja,renoveeritud,1929.0,5.0
Tina 20,Kesklinn,2.0,60.7,160000,kivimaja,renoveeritud,1921.0,4.0
Pöörise 7-48,Mustamäe,3.0,53.0,120000,paneelmaja,uus,2020.0,14.0
Siidisaba 13/1,Kristiine,3.0,75.2,157000,kivimaja,uus,2006.0,3.0
Tulika 18,Kristiine,2.0,35.0,59900,puitmaja,vajab renoveerimist,1932.0,3.0
Laulupeo tn 21,Kesklinn,3.0,68.1,140000,kivimaja,vajab san. remonti,1939.0,5.0
Päevalille 4-83,Haabersti,3.0,50.8,133900,paneelmaja,uus,2020.0,15.0
Paldiski mnt 31a 31a,Kristiine,5.0,125.0,154900,kivimaja,uus,1990.0,2.0
Kungla 45/1,Põhja-Tallinn,3.0,56.0,119000,kivimaja,renoveeritud,1908.0,2.0
Tuletorni tn 12-6,Lasnamäe,3.0,65.3,170000,kivimaja,uus,2021.0,3.0
Linda 5/2-16,Põhja-Tallinn,3.0,122.2,174000,kivimaja,vajab renoveerimist,1928.0,3.0
Pärnu mnt 29-506,Kesklinn,1.0,37.3,125000,kivimaja,uus,2019.0,8.0
Uus-Sadama 25,Kesklinn,2.0,62.5,128000,kivimaja,keskmises seisukorras,1977.0,5.0
Sõpruse pst 232,Mustamäe,2.0,43.4,69900,paneelmaja,vajab renoveerimist,1968.0,9.0
Välja tn. 4,Kristiine,1.0,28.0,63500,paneelmaja,heas korras,1981.0,9.0
Seebi tn 1-2004,Kesklinn,4.0,126.0,669900,kivimaja,uus,2020.0,20.0
Linnamäe 11,Lasnamäe,2.0,49.3,71000,paneelmaja,vajab renoveerimist,1989.0,9.0
Tagala 10A-2,Haabersti,4.0,80.6,146000,kivimaja,uus,2019.0,4.0
Õismäe tee 141-46,Haabersti,1.0,33.0,59990,paneelmaja,renoveeritud,1977.0,5.0
Tagala 10-58,Haabersti,3.0,71.0,140000,kivimaja,uus,2019.0,4.0
Liikuri 18c-17,Lasnamäe,2.0,43.3,109790,kivimaja,uus,2020.0,7.0
Jahu 6-6/1-52,Põhja-Tallinn,2.0,55.7,172000,paneelmaja,uus,2019.0,6.6790013374944275
Pille 9/1-B13,Kesklinn,1.0,34.3,103900,paneelmaja,uus,2020.0,4.0
Ranna tee 46a,Pirita,3.0,81.2,180000,paneelmaja,uus,2015.0,3.0
Männiku tee 76,Nõmme,3.0,79.8,155000,puitmaja,uus,2018.0,3.0
Toom-Kuninga 15-18,Kesklinn,3.0,66.1,189000,paneelmaja,uus,2020.0,8.0
Jalami tn 1-49,Haabersti,4.0,74.9,156900,paneelmaja,uus,2019.0,8.0
Paljandi 2/2,Haabersti,3.0,87.0,200000,kivimaja,heas korras,2006.0,3.0
Rumbi 4-32,Kesklinn,3.0,79.6,299000,kivimaja,heas korras,2018.0,5.0
Soodi 4,Põhja-Tallinn,5.0,113.0,280000,kivimaja,uus,2020.0,5.0
Väike-Patarei 1-1/2-14,Põhja-Tallinn,2.0,55.7,174000,paneelmaja,uus,2019.0,4.0
Aiandi 8/2-7,Mustamäe,2.0,42.2,111490,kivimaja,uus,2021.0,6.0
Pirita tee 26b/1-30,Kesklinn,2.0,51.3,149900,kivimaja,uus,2020.0,4.0
Järve 2-217,Kristiine,2.0,46.6,148900,paneelmaja,uus,2020.0,18.0
Toom-Kuninga 15-4,Kesklinn,2.0,65.0,164000,paneelmaja,uus,2020.0,8.0
Roseni 10,Kesklinn,3.0,94.2,298000,kivimaja,heas korras,2007.0,5.0
Komeedi 13,Kesklinn,4.0,73.3,139500,puitmaja,vajab renoveerimist,1929.0,3.0
Kari 1,Põhja-Tallinn,1.0,28.9,65000,paneelmaja,renoveeritud,1963.0,4.0
Järve 2-179,Kristiine,3.0,65.4,186500,paneelmaja,uus,2020.0,18.0
Lesta tn 10/1-11,Haabersti,4.0,105.7,380520,paneelmaja,uus,2019.0,3.0
Liikuri 5-53,Lasnamäe,2.0,46.8,116000,paneelmaja,uus,2020.0,8.0
Jahu 5-34,Põhja-Tallinn,3.0,64.5,282900,kivimaja,uus,2020.0,2.0
Lõime,Põhja-Tallinn,1.0,12.5,22000,kivimaja,san. remont tehtud,1952.0,4.0
Kappeli 8/2,Kesklinn,2.0,31.0,65000,puitmaja,renoveeritud,1915.0,2.0
Jakobi 16/1-2,Kesklinn,2.0,33.1,115000,puitmaja,uus,2020.0,4.0
Õismäe tee 112,Haabersti,3.0,65.3,106000,paneelmaja,renoveeritud,1980.0,16.0
Mooni 9,Kristiine,3.0,52.2,129900,puitmaja,renoveeritud,1934.0,3.0
Paepargi 50/2,Lasnamäe,2.0,58.8,130500,paneelmaja,uus,2020.0,8.0
Järve 2-148,Kristiine,2.0,46.4,138000,paneelmaja,uus,2020.0,18.0
Veerenni 36a/1-2,Kesklinn,4.0,118.3,309900,paneelmaja,uus,2020.0,3.0
Seebi tn 1-2004,Kristiine,4.0,126.0,669900,kivimaja,uus,2020.0,20.0
Toom-Kuninga 15-13,Kesklinn,3.0,64.1,185000,paneelmaja,uus,2020.0,8.0
Jõeküla tee 18/4-1,Haabersti,4.0,90.3,219000,kivimaja,uus,2021.0,2.0
Rohu 20,Põhja-Tallinn,1.0,19.0,59700,puitmaja,renoveeritud,1902.0,2.0
Pille 9/3-59,Kesklinn,3.0,79.0,209900,paneelmaja,uus,2020.0,6.0
Tagala 10-33,Haabersti,3.0,66.8,124000,kivimaja,uus,2019.0,4.0
Rehe põik 10,Haabersti,3.0,56.7,138000,paneelmaja,uus,2019.0,4.0
Lahepea 9-37,Põhja-Tallinn,3.0,77.9,194900,kivimaja,uus,2019.0,4.0
Paepargi 50/2-23,Lasnamäe,2.0,61.1,135500,paneelmaja,uus,2020.0,8.0
Roosikrantsi tn 21,Kesklinn,2.0,42.8,148000,kivimaja,renoveeritud,1958.0,5.0
Ehitajate tee 70,Mustamäe,3.0,61.1,74900,paneelmaja,vajab san. remonti,1967.0,5.0
Pöörise 7-31,Mustamäe,2.0,49.3,105000,paneelmaja,uus,2020.0,12.0
Paldiski mnt 21-14,Kesklinn,3.0,97.5,279000,paneelmaja,uus,2019.0,5.0
Kaaruti 5-22,Haabersti,3.0,67.9,153900,paneelmaja,uus,2020.0,4.0
Alasi 5-28,Põhja-Tallinn,1.0,35.4,89500,kivimaja,uus,2020.0,4.0
Vindi 11,Kristiine,2.0,45.7,70000,kivimaja,vajab renoveerimist,1976.0,1.0
A.Weizenbergi 16,Kadriorg,4.0,157.0,470000,puitmaja,uus,1924.0,3.0
Pille 9/3-71,Kesklinn,4.0,114.8,373900,paneelmaja,uus,2020.0,6.0
Pärnu mnt 130-28,Kesklinn,2.0,52.7,117000,kivimaja,renoveeritud,2008.0,8.0
Tagala 10-2,Haabersti,4.0,80.6,146000,kivimaja,uus,2019.0,4.0
Järve 2-216,Kristiine,2.0,46.0,147400,paneelmaja,uus,2020.0,18.0
Ränduri 39,Nõmme,1.0,28.0,62000,kivimaja,renoveeritud,1965.0,3.0
F.R.Kreutzwaldi 17,Kesklinn,3.0,68.4,166900,kivimaja,vajab renoveerimist,1924.0,5.0
Võidujooksu 7-6,Lasnamäe,3.0,52.1,129290,kivimaja,uus,2020.0,7.0
Aiandi 8/1-14,Mustamäe,3.0,69.6,154990,kivimaja,uus,2021.0,8.0
Aiandi 8/1-34,Mustamäe,2.0,40.1,110490,kivimaja,uus,2021.0,8.0
Uus-maleva 9,Põhja-Tallinn,3.0,56.7,97000,kivimaja,renoveeritud,1969.0,5.0
Kolde pst 67/3,Põhja-Tallinn,2.0,51.2,135000,paneelmaja,uus,2006.0,3.0
Pöörise 7-53,Mustamäe,2.0,45.4,102000,paneelmaja,uus,2020.0,12.0
Mustamäe tee 167,Mustamäe,3.0,60.2,105000,paneelmaja,heas korras,1971.0,9.0
Ehitajate tee 91/2-49,Mustamäe,2.0,36.5,99900,kivimaja,uus,2020.0,8.0
Tedre 77,Kristiine,2.0,43.5,89900,paneelmaja,renoveeritud,1973.0,5.0
KARI TN. 6,Põhja-Tallinn,2.0,54.0,99900,kivimaja,renoveeritud,1983.0,5.0
Valge tn 16-49,Lasnamäe,2.0,40.4,107000,kivimaja,uus,2019.0,5.0
R. Tobiase tn 3,Kadriorg,3.0,60.2,204900,kivimaja,uus,2019.0,5.0
Soodi 4-23,Põhja-Tallinn,2.0,43.9,119500,kivimaja,uus,2021.0,5.0
Tagala 10B-39,Haabersti,3.0,71.0,129000,kivimaja,uus,2019.0,4.0
Jalami tn 1-75,Haabersti,3.0,68.1,150900,paneelmaja,uus,2019.0,8.0
Jahu 5-17,Kesklinn,3.0,79.4,254900,kivimaja,uus,2020.0,3.0
Kopli,Põhja-Tallinn,2.0,68.3,199000,kivimaja,renoveeritud,1912.0,4.0
Järve 2-146,Kristiine,3.0,65.3,181900,paneelmaja,uus,2020.0,18.0
Alasi 5-1,Põhja-Tallinn,2.0,40.7,106090,kivimaja,uus,2020.0,4.0
Keava 7-8,Kesklinn,2.0,34.0,105000,kivimaja,uus,2020.0,3.0
Punane 11,Lasnamäe,2.0,44.0,75000,paneelmaja,renoveeritud,1985.0,5.0
Võistluse 6-43,Kesklinn,5.0,121.9,412000,kivimaja,uus,2019.0,14.0
Jahu 6-6/1-53,Põhja-Tallinn,1.0,31.7,143000,paneelmaja,uus,2019.0,6.6790013374944275
Päevalille 4-43,Haabersti,2.0,39.6,98900,paneelmaja,uus,2020.0,15.0
E.Vilde tee 66,Mustamäe,3.0,68.6,95000,kivimaja,vajab renoveerimist,1971.0,9.0
C. R. Jakobsoni tn 13-7,Kesklinn,4.0,95.1,251000,kivimaja,uus,2019.0,6.0
Pille 9/1-B14,Kesklinn,2.0,54.7,158900,paneelmaja,uus,2020.0,4.0
Toom-Kuninga 15-104,Kesklinn,3.0,63.5,225000,paneelmaja,uus,2020.0,8.0
Punane 13,Lasnamäe,2.0,45.2,84000,kivimaja,uus,1971.0,5.0
Lasnamäe tn 16,Kesklinn,4.0,98.5,264000,kivimaja,uus,2019.0,6.0
Valge 6A/1-2,Kadriorg,2.0,67.2,178000,kivimaja,uus,2020.0,3.0
Päevalille 4-106,Mustamäe,2.0,39.6,122900,paneelmaja,uus,2020.0,15.0
Pirita tee 26,Kesklinn,4.0,121.9,430000,kivimaja,uus,2015.0,9.0
Tartu mnt 50a,Kesklinn,4.0,108.7,269900,kivimaja,uus,2012.0,13.0
Punane 11,Lasnamäe,4.0,60.4,105900,paneelmaja,renoveeritud,1985.0,5.0
Õismäe tee 44,Haabersti,3.0,65.7,104900,paneelmaja,renoveeritud,1970.0,9.0
Paepargi 50/2,Lasnamäe,2.0,58.8,128000,paneelmaja,uus,2020.0,8.0
Aiandi 8/1-12,Mustamäe,2.0,41.4,109490,kivimaja,uus,2021.0,8.0
Jalami tn 1-94,Haabersti,3.0,62.0,165900,paneelmaja,uus,2019.0,8.0
Pirita tee 26b/1-20,Kesklinn,2.0,51.3,129900,paneelmaja,uus,2020.0,4.0
Paldiski mnt 19,Kesklinn,3.0,71.6,205000,puitmaja,heas korras,2014.0,3.0
