street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Tartu mnt 28,Kesklinn,3,97.2,230000,2366,kivimaja,keskmises seisukorras,1952,67,2,4
Uus-Tatari 16,Kesklinn,4,82.4,199000,2415,kivimaja,-,1983,36,5,5
Sütiste tee 18,Mustamäe,2,49,77000,1571,paneelmaja,heas korras,1969,50,2,5
Poordi 3-7,Kesklinn,4,103.7,299000,2883,-,uus,2017,2,2,7
Remmelga 4-11,Nõmme,4,83.8,178900,2135,kivimaja,uus,2020,0,3,4
Seebi tn 1-707,Kesklinn,2,57.1,196900,3448,kivimaja,uus,2020,0,7,20
Tööstuse 47d,Põhja-Tallinn,2,77.9,220000,2824,kivimaja,uus,2019,0,4,5
Jalami tn 1-59,Haabersti,4,85.6,176900,2067,paneelmaja,uus,2019,0,5,8
Kalaranna 8/4,Põhja-Tallinn,2,57.9,172900,2986,paneelmaja,uus,-,-,1,4
Veerenni 4,Kesklinn,2,40.6,109000,2685,kivimaja,-,1962,57,3,4
E. Vilde tee 89,Mustamäe,3,56.4,75000,1330,paneelmaja,vajab renoveerimist,1964,55,5,5
Roosikrantsi tn 8C,Kesklinn,3,56.5,197500,3496,kivimaja,renoveeritud,1933,86,3,5
Oja 61,Haabersti,2,51.4,94000,1829,kivimaja,heas korras,2003,16,4,4
Lai 43,Vanalinn,3,109.2,319000,2921,kivimaja,-,2007,12,1,1
Kreutzwaldi 4,Kadriorg,4,109.9,320000,2912,kivimaja,renoveeritud,1994,25,6,7
Puhangu 32,Põhja-Tallinn,1,27.9,53000,1900,kivimaja,vajab renoveerimist,1967,52,1,5
Kaluri 4,Põhja-Tallinn,1,18.7,31000,1658,kivimaja,vajab san. remonti,-,-,1,2
Aiandi 8/2-30,Mustamäe,2,40.4,110490,2735,kivimaja,uus,2021,0,6,6
Asunduse 9-57,Lasnamäe,2,43.9,79000,1800,paneelmaja,heas korras,1970,49,5,5
Järve 2-129,Kristiine,3,65.2,185900,2851,paneelmaja,uus,2020,0,4,18
Ranna tee 46a,Pirita,4,104.5,265000,2536,kivimaja,uus,2015,4,3,3
Päevalille 4-108,Haabersti,2,38.3,114900,3000,paneelmaja,uus,2020,0,15,15
Linnamäe 45,Lasnamäe,3,61,83900,1375,kivimaja,keskmises seisukorras,1986,33,1,9
Jahu 5-17,Põhja-Tallinn,3,79.4,254900,3210,kivimaja,uus,2020,0,2,3
A.H. Tammsaare tee 89a-13,Mustamäe,1,27.6,90800,3290,-,uus,2019,0,3,6
Vesivärava 50-71,Kadriorg,4,99.1,236500,2386,-,uus,2019,0,6,9
Rotermanni 18,Kesklinn,4,130,648000,4985,paneelmaja,uus,2017,2,7,7
Kotzebue 31,Põhja-Tallinn,2,72.6,179000,2466,kivimaja,-,2015,4,1,3
Paldiski mnt 175,Haabersti,3,65,82700,1272,paneelmaja,heas korras,-,-,5,5
