street,district,rooms,area,price,price_m2,material,condition,year_built,age,floor,total_floors
Seebi tn 1-504,Kristiine,2,41.4,117400,2836,kivimaja,uus,2020,0,5,20
Mustamäe tee 102,Mustamäe,3,60.4,83900,1389,paneelmaja,vajab san. remonti,1967,52,3,5
Punane 23,Lasnamäe,2,43.2,75900,1757,-,uus,1973,46,3,9
Lesta tn 10/2-18,Haabersti,3,89.2,280980,3150,paneelmaja,uus,2019,0,1,3
Valge 6A/1-7,Lasnamäe,2,70,203000,2900,kivimaja,uus,2019,0,3,3
Linnamäe tee 12,Lasnamäe,2,49,77000,1571,paneelmaja,san. remont tehtud,1987,32,3,9
Anni tn. 5,Lasnamäe,2,52.4,86900,1658,paneelmaja,renoveeritud,1982,37,1,5
Paldiski mnt 14,Kesklinn,3,70.2,250000,3561,-,renoveeritud,2012,7,2,7
Kauna 3a-1,Kesklinn,5,167.2,499000,2984,kivimaja,uus,2018,1,2,3
Kentmanni 18,Kesklinn,5,183.1,450000,2458,-,renoveeritud,1956,63,4,5
Meriski 3-1,Kristiine,2,47.9,120000,2505,-,uus,2019,0,1,4
Mustamäe tee 175,Mustamäe,3,61.8,85000,1375,paneelmaja,keskmises seisukorras,1967,52,5,5
Soodi 4,Põhja-Tallinn,3,67.9,176900,2605,kivimaja,uus,2020,0,1,5
Paepargi 50/1-26,Lasnamäe,3,66.1,152500,2307,paneelmaja,uus,2020,0,7,14
Seebi tn 1-603,Kesklinn,3,77.7,243900,3139,kivimaja,uus,2020,0,6,20
Kivimurru 3B,Kesklinn,4,100,129900,1299,-,renoveeritud,-,-,1,2
Järve 2-152,Kristiine,3,65.3,177500,2718,paneelmaja,uus,2020,0,7,18
Liikuri 8a,Lasnamäe,2,68.5,119000,1737,kivimaja,uus,2006,13,4,7
Kärneri 1,Haabersti,4,100,190000,1900,paneelmaja,heas korras,2007,12,8,8
Retke tee 30,Mustamäe,3,85,118000,1388,paneelmaja,keskmises seisukorras,-,-,3,9
Vene 19,Vanalinn,3,127.6,299900,2350,kivimaja,renoveeritud,-,-,4,4
Süda 4-501,Kesklinn,2,55.3,246000,4448,kivimaja,uus,2019,0,5,6
Seebi tn 1-1401,Mustamäe,2,42.5,146900,3456,kivimaja,uus,2020,0,14,20
Lasnamäe 6,Lasnamäe,3,66.7,150000,2249,paneelmaja,renoveeritud,-,-,8,9
Ristiku 22/2-9,Põhja-Tallinn,4,74.8,229500,3068,kivimaja,-,2019,0,1,3
Heli 7/1-31,Mustamäe,3,65.9,154800,2349,-,uus,2020,0,7,-
Mustakivi 25,Lasnamäe,3,79.7,185000,2321,paneelmaja,uus,2018,1,11,12
Pihlaka 14,Nõmme,2,52.6,79000,1502,paneelmaja,keskmises seisukorras,1979,40,3,5
Liikuri 32,Lasnamäe,3,61.3,94900,1548,kivimaja,heas korras,1986,33,7,9
E. Vilde tee,Mustamäe,2,39.8,85500,2148,-,-,1965,54,2,4
Oksa tn // Seebi tn 2//4-21,Kristiine,2,32.5,110000,3385,kivimaja,uus,2020,0,4,4
Jalami tn 1-75,Mustamäe,3,68.1,150900,2216,paneelmaja,uus,2019,0,6,8
Pärnu mnt 129c/2,Kesklinn,3,69.7,158000,2267,paneelmaja,heas korras,2008,11,2,7
Vilde tee 107,Mustamäe,2,43.9,65900,1501,paneelmaja,-,1965,54,1,5
Roosikrantsi tn 9,Kesklinn,3,92,290000,3152,kivimaja,-,2002,17,5,8
Aiandi 8/2-20,Mustamäe,2,42.5,112490,2647,kivimaja,uus,2021,0,5,6
Tagala 10-50,Haabersti,3,71,135000,1901,kivimaja,uus,2019,0,3,4
Aru 21,Põhja-Tallinn,2,42,84000,2000,puitmaja,keskmises seisukorras,-,-,1,2
Vana-Kalamaja 6-4,Põhja-Tallinn,3,71.9,229000,3185,kivimaja,uus,2019,0,2,4
Tööstuse 16-5,Põhja-Tallinn,2,45.6,142500,3125,kivimaja,uus,2018,1,3,3
Erika 6,Põhja-Tallinn,3,50,74900,1498,kivimaja,vajab san. remonti,1970,49,1,5
Õismäe tee 55,Haabersti,2,46.6,74000,1588,palkmaja,renoveeritud,1974,45,2,5
Aiandi tn 8/1-9,Mustamäe,1,28,83900,2996,paneelmaja,uus,-,-,3,8
Pille 9/4-B82,Kesklinn,2,54.7,152900,2795,paneelmaja,uus,2020,0,2,4
C.R.Jakobsoni 17,Kesklinn,2,37.8,109000,2884,-,-,2006,13,4,7
Liikuri 8a,Lasnamäe,3,76.4,134900,1766,kivimaja,heas korras,2006,13,6,8
Seebi 26,Kristiine,2,38.1,79900,2097,kivimaja,renoveeritud,-,-,5,5
Valge tn 10e-24,Lasnamäe,1,27.3,79900,2927,kivimaja,uus,2020,0,1,4
Paepargi 50/1-1,Lasnamäe,3,66.1,141500,2141,-,uus,2020,0,2,14
Sõle 25b,Põhja-Tallinn,1,41,75000,1829,paneelmaja,heas korras,2003,16,1,4
Pöörise 7-60,Mustamäe,3,53,120000,2264,paneelmaja,uus,2020,0,10,14
Koskla,Kesklinn,3,60.3,103000,1708,paneelmaja,heas korras,1970,49,1,5
Idakaare 9,Nõmme,2,58.1,115000,1979,puitmaja,uus,2018,1,3,3
Vabaduse pst 209,Nõmme,2,48,84900,1769,kivimaja,-,1968,51,4,9
Sõpruse pst 3,Kristiine,1,16.8,39500,2351,paneelmaja,keskmises seisukorras,-,-,5,5
Jalami tn 1-1,Haabersti,3,62.4,134900,2162,paneelmaja,uus,2019,0,1,8
Valge 18b,Lasnamäe,2,,129000,0,paneelmaja,-,2006,13,2,5
Mustakivi tee 25,Lasnamäe,2,56.8,112500,1981,-,-,2018,1,9,12
Kolde pst 98,Põhja-Tallinn,1,32.1,57000,1776,kivimaja,vajab san. remonti,1976,43,10,14
Pärnu mnt 308,Nõmme,3,55.1,95000,1724,-,-,-,-,1,2
Läänemere tee 70,Lasnamäe,3,64.8,118000,1821,kivimaja,heas korras,2009,10,5,6
Soodi 4,Põhja-Tallinn,2,59.9,167500,2796,kivimaja,uus,2020,0,5,5
Narva mnt 122,Kesklinn,3,86.3,204990,2375,kivimaja,uus,2015,4,2,5
Rataskaevu 22,Vanalinn,3,114.9,435000,3786,kivimaja,renoveeritud,1825,194,2,4
Lasnamäe 4b,Kesklinn,2,55.2,185000,3351,paneelmaja,uus,2018,1,5,13
Vabaduse pst 209,Nõmme,3,48,84900,1769,kivimaja,-,1968,51,4,9
Astangu 38,Haabersti,2,51.8,77000,1486,paneelmaja,renoveeritud,1988,31,4,5
Kari 24-43,Põhja-Tallinn,3,57.5,134500,2339,kivimaja,uus,2018,1,4,5
Narva mnt 32,Kadriorg,3,65.2,90750,1392,-,-,-,-,2,3
Jalami tn 1-52,Mustamäe,4,95.6,207800,2174,paneelmaja,uus,2019,0,4,8
Õismäe tee 94,Haabersti,2,50.1,84000,1677,paneelmaja,renoveeritud,1976,43,2,9
Läänemere tee 9,Lasnamäe,2,52.8,86990,1648,-,renoveeritud,1989,30,2,5
Raua 30,Kadriorg,1,15,52000,3467,puitmaja,uus,1925,94,0,3
Pae 22-13,Lasnamäe,1,30.2,52490,1738,paneelmaja,vajab renoveerimist,1961,58,4,5
Jahu 6-6/3-82,Põhja-Tallinn,2,55.7,179000,3214,paneelmaja,uus,2019,0,1,-
Gildi 5-12,Kesklinn,3,74,176000,2378,kivimaja,uus,2019,0,3,3
Jahu 5-31,Põhja-Tallinn,3,78.7,272900,3468,kivimaja,uus,2020,0,1,2
Köleri 16b,Kadriorg,7,184.2,589000,3198,puitmaja,renoveeritud,2017,2,,-
Kalju 7,Põhja-Tallinn,4,77.3,191000,2471,kivimaja,heas korras,1996,23,1,4
Uus-Tatari 16,Kesklinn,4,82.4,199000,2415,kivimaja,renoveeritud,1983,36,5,5
Toom-Kuninga 21,Kesklinn,2,65.2,197000,3021,paneelmaja,uus,2019,0,7,9
Liikuri 18c-6,Lasnamäe,3,54.3,130080,2396,kivimaja,uus,2020,0,2,7
Jakobi 16/1-1,Kesklinn,2,29.2,105000,3596,puitmaja,uus,2020,0,2,4
Paplite puiestee 4,Nõmme,4,101.7,129000,1268,kivimaja,vajab san. remonti,1963,56,0,3
Soodi 4-37,Haabersti,3,77.2,196000,2539,kivimaja,uus,2020,0,2,5
Priisle tee 2-5,Lasnamäe,2,65,113800,1751,paneelmaja,uus,2020,0,1,9
Vene 21,Vanalinn,,160,199000,1244,kivimaja,vajab renoveerimist,1917,102,2,2
Pärnu mnt 110,Kesklinn,4,89,199000,2236,kivimaja,keskmises seisukorras,2006,13,5,15
Pärnu mnt 48,Kesklinn,3,76.2,165000,2165,kivimaja,-,1960,59,4,5
C. R. Jakobsoni tn 17,Kesklinn,2,48.8,144000,2951,kivimaja,-,2006,13,6,7
Lesta tn 10/2-25,Haabersti,3,80.5,250170,3108,paneelmaja,uus,2019,0,2,3
Telliskivi 49-15,Põhja-Tallinn,2,41.6,143500,3450,kivimaja,uus,2019,0,2,4
Asunduse 15-14,Lasnamäe,2,52.6,107000,2034,kivimaja,heas korras,2005,14,3,6
Järve 2-153,Kristiine,3,65.2,194600,2985,paneelmaja,uus,2020,0,8,18
Sügise 2,Põhja-Tallinn,5,108.9,209000,1919,kivimaja,-,1929,90,4,5
Pärnu maantee 29-803,Kesklinn,2,74,418000,5649,kivimaja,uus,2020,0,8,8
Tartu mnt 47,Kesklinn,3,63.6,149990,2358,kivimaja,renoveeritud,1981,38,5,8
Ehitajate tee 84,Mustamäe,1,30,59000,1967,paneelmaja,renoveeritud,1967,52,1,5
J. Vilmsi tänav 7-2,Kadriorg,3,101.1,219900,2174,puitmaja,renoveeritud,2019,0,1,3
Koidu,Kesklinn,1,26.7,78000,2921,kivimaja,heas korras,-,-,1,5
3. Liin 1-7,Põhja-Tallinn,4,100.6,240900,2395,kivimaja,uus,2021,0,2,3
Tornimäe 7,Kesklinn,3,59.7,204000,3417,kivimaja,heas korras,2006,13,30,7
Jalami tn 1-57,Haabersti,3,76.6,166900,2179,paneelmaja,uus,2019,0,5,8
Harku 59,Nõmme,4,95.7,169000,1766,puitmaja,keskmises seisukorras,1926,93,1,2
Mustakivi tee 25,Lasnamäe,3,73.4,160000,2180,-,-,2018,1,9,12
Uus-Kalamaja 7,Põhja-Tallinn,2,45,87000,1933,puitmaja,heas korras,-,-,1,2
Telliskivi tn 41-7,Põhja-Tallinn,3,51.7,176000,3404,kivimaja,uus,2019,0,3,3
Koidu 92,Kesklinn,2,49.7,118900,2392,kivimaja,-,1951,68,3,3
Uus-Maleva 5,Põhja-Tallinn,2,46.4,74000,1595,paneelmaja,vajab san. remonti,-,-,5,1
Priisle tee 30-36,Lasnamäe,1,35,76200,2177,paneelmaja,uus,2019,0,1,3
Pöörise 7-68,Mustamäe,2,45.4,102000,2247,paneelmaja,uus,2020,0,12,12
Seebi tn 1-302,Kristiine,3,67.5,166900,2473,kivimaja,uus,2020,0,3,20
Võistluse 3-16,Kesklinn,4,74.1,206900,2792,kivimaja,uus,2019,0,6,4
Soodi 4-2,Põhja-Tallinn,2,49.7,128000,2575,kivimaja,uus,2020,0,1,5
Endla 63/2,Kristiine,3,74,164900,2228,puitmaja,renoveeritud,-,-,1,2
Järveotsa tee 45,Haabersti,1,32.9,58000,1763,paneelmaja,vajab renoveerimist,1977,42,1,9
Paasiku 14,Lasnamäe,3,65,87900,1352,paneelmaja,heas korras,1993,26,9,9
Wismari 34/1,Kesklinn,4,74,186000,2514,puitmaja,heas korras,2006,13,1,3
Lõime 28,Põhja-Tallinn,2,37.2,66000,1774,kivimaja,keskmises seisukorras,1960,59,4,4
Narva mnt 122,Kesklinn,2,80.7,181500,2249,kivimaja,uus,2015,4,1,5
Vabaduse pst 209,Nõmme,2,48,84900,1769,kivimaja,-,1968,51,4,9
Kunderi 4,Kesklinn,2,45.8,125000,2729,kivimaja,heas korras,-,-,4,5
Lastekodu 25,Kesklinn,4,110.5,225000,2036,-,uus,2007,12,2,5
Võru 8,Lasnamäe,3,64.8,119000,1836,paneelmaja,renoveeritud,1981,38,7,9
Vikerlase 4,Lasnamäe,2,32.8,69900,2131,paneelmaja,renoveeritud,1979,40,1,5
Valge tn 16-6,Kesklinn,1,22.3,64900,2910,-,uus,2019,0,1,5
Sõpruse pst 198-50,Mustamäe,2,43.4,79990,1843,paneelmaja,renoveeritud,1967,52,2,5
Narva maantee 16,Kesklinn,2,53.1,119900,2258,kivimaja,-,1953,66,1,4
E. Vilde tee 133,Mustamäe,2,39.4,64900,1647,kivimaja,vajab renoveerimist,-,-,3,4
Kaubamaja 4,Kesklinn,2,59.9,152900,2553,kivimaja,heas korras,1959,60,4,6
Kentmanni 18,Kesklinn,5,170.8,309000,1809,kivimaja,-,1956,63,4,5
Noole tn 4,Põhja-Tallinn,2,84,245000,2917,kivimaja,renoveeritud,2008,11,1,4
Elektroni 8,Kristiine,3,55.2,85000,1540,paneelmaja,heas korras,1976,43,1,5
Seebi tn 1-709,Kesklinn,3,69.1,261900,3790,kivimaja,uus,2020,0,7,20
Sinimäe 16,Lasnamäe,2,50.6,114000,2253,kivimaja,uus,2019,0,2,5
Oksa tn // Seebi tn 2//4-15,Kristiine,2,32.5,105000,3231,kivimaja,uus,2020,0,3,4
Heli 7/1-23,Mustamäe,2,46,116300,2528,-,uus,2020,0,5,-
Jalami tn 1-6,Mustamäe,3,69.3,153900,2221,paneelmaja,uus,2019,0,1,8
Mahtra tn 44,Lasnamäe,2,63.9,84000,1315,paneelmaja,renoveeritud,1986,33,2,9
Magasini 25a,Kesklinn,4,84,135000,1607,puitmaja,keskmises seisukorras,-,-,1,2
Poordi tn 3-61,Kesklinn,3,83.9,269000,3206,paneelmaja,uus,2017,2,4,6
Männiku tee 90,Nõmme,,64.2,117000,1822,kivimaja,keskmises seisukorras,-,-,1,3
L. Koidula tn 22a,Kadriorg,3,119.3,376000,3152,puitmaja,-,2014,5,3,3
Paepargi 50/2-14,Lasnamäe,2,68.8,146500,2129,paneelmaja,uus,2020,0,4,8
Õismäe tee 45,Haabersti,1,32.9,62000,1885,paneelmaja,heas korras,1974,45,2,5
Kaubamaja 4,Kesklinn,3,94.1,220000,2338,kivimaja,heas korras,1959,60,6,6
Tulika 4a,Kristiine,1,15,12250,817,puitmaja,vajab renoveerimist,1923,96,,-
Keskuse 6,Mustamäe,2,47.3,82499,1744,paneelmaja,renoveeritud,-,-,3,5
Alasi 5-31,Põhja-Tallinn,3,67.1,164000,2444,kivimaja,uus,2020,0,2,4
Toom-Kuninga 15-41,Kesklinn,4,88.2,265000,3005,paneelmaja,uus,2020,0,4,4
Jahu 6-6/1-55,Põhja-Tallinn,3,63.7,228000,3579,paneelmaja,uus,2019,0,2,-
J. Kunderi tn 8,Kesklinn,2,64.2,170000,2648,-,uus,1970,49,5,6
Kotka 8,Kristiine,2,40,90000,2250,kivimaja,renoveeritud,1978,41,4,4
Mustamäe tee 147,Mustamäe,3,59.5,89900,1511,kivimaja,-,1969,50,6,9
Järve 2-131,Kristiine,4,90.3,199900,2214,paneelmaja,uus,2020,0,4,18
Jahu 5-44,Põhja-Tallinn,2,51.7,222900,4311,kivimaja,uus,2020,0,2,3
Juurdeveo 8-9,Kesklinn,3,70.2,196900,2805,kivimaja,uus,2020,0,4,4
Marsi 3,Kristiine,4,113.4,390000,3439,paneelmaja,uus,2015,4,5,5
Kopliranna tn 10-6,Põhja-Tallinn,3,60,102000,1700,puitmaja,-,1955,64,2,2
Peterburi tee 9,Kesklinn,3,61.5,140000,2276,kivimaja,renoveeritud,-,-,3,3
Supluse pst 1,Pirita,3,107,264900,2476,kivimaja,renoveeritud,2007,12,1,5
Sõpruse pst 219,Mustamäe,3,66.6,94880,1425,paneelmaja,renoveeritud,1969,50,3,5
Toom-Kuninga 15-9,Kesklinn,3,85.6,235000,2745,paneelmaja,uus,2020,0,2,8
Kuninga 1,Vanalinn,4,129.6,615000,4745,kivimaja,renoveeritud,1936,83,,-
Jahu 5-10,Kesklinn,3,66.5,247900,3728,kivimaja,uus,2020,0,2,3
Seebi tn 1-603,Mustamäe,3,77.7,228900,2946,kivimaja,uus,2020,0,6,20
A.H. Tammsaare tee 89a-7,Mustamäe,3,61.8,146500,2371,-,uus,2019,0,2,6
Paepargi 50/1-40,Lasnamäe,3,63.8,140500,2202,-,uus,2020,0,9,14
Vilde tee 56,Mustamäe,2,49,75000,1531,kivimaja,-,1972,47,1,9
Rotermanni 5,Kesklinn,4,165.2,565000,3420,-,-,2007,12,7,7
Sitsi 9,Põhja-Tallinn,1,19.5,48000,2462,puitmaja,-,-,-,1,2
Rahumäe tee 6b,Kristiine,2,56.8,109000,1919,kivimaja,heas korras,2004,15,4,4
Soo 13,Põhja-Tallinn,2,51,85000,1667,puitmaja,keskmises seisukorras,-,-,1,2
Pöörise 7-26,Mustamäe,2,45.4,99000,2181,paneelmaja,uus,2020,0,5,12
Tööstuse 28a-6,Põhja-Tallinn,2,50.1,145000,2894,kivimaja,uus,1949,70,2,4
Valdeku tn 118,Nõmme,2,40.6,63000,1552,paneelmaja,vajab san. remonti,1963,56,3,4
Oksa tn // Seebi tn 2//4-11,Kristiine,2,28.8,93000,3229,kivimaja,uus,2020,0,3,4
Räägu 10,Kristiine,3,64,179000,2797,paneelmaja,renoveeritud,2010,9,4,4
Pöörise 7-70,Mustamäe,3,64.2,135000,2103,paneelmaja,uus,2020,0,12,12
Tartu mnt 28,Kesklinn,4,97.9,190000,1941,kivimaja,-,1952,67,4,4
A. H. Tammsaare tee 123,Mustamäe,3,60.9,86000,1412,-,-,1967,52,4,5
Vihuri 1,Põhja-Tallinn,2,46.4,81900,1765,kivimaja,-,1978,41,5,5
Pärnu mnt,Kesklinn,4,88.9,175500,1974,kivimaja,uus,2006,13,2,15
Raua 59-1,Kadriorg,4,102.1,271900,2663,paneelmaja,uus,2018,1,1,6
Möldre tee 2,Nõmme,2,57.8,114900,1988,paneelmaja,-,2005,14,2,3
Järve 2-134,Kristiine,3,65.3,177500,2718,paneelmaja,uus,2020,0,4,18
Saadu tn 1-2,Haabersti,3,53.9,133900,2484,kivimaja,uus,2020,0,1,2
Raua 59-4,Kadriorg,3,72.2,190900,2644,paneelmaja,uus,2018,1,1,6
P.Pinna 3,Lasnamäe,1,32.8,40000,1220,paneelmaja,-,1980,39,5,5
Lesta tn 10/1-6,Haabersti,4,190.6,724280,3800,kivimaja,uus,2019,0,,-
Jalami tn 1-11,Haabersti,4,109.4,235800,2155,paneelmaja,uus,2019,0,1,8
A.H. Tammsaare tee 89a-40,Mustamäe,3,61.8,153800,2489,-,uus,2019,0,3,6
Kuldnoka 12,Kristiine,1,32.9,60000,1824,paneelmaja,keskmises seisukorras,1973,46,3,5
Paepargi 50/1,Lasnamäe,3,63.8,128000,2006,paneelmaja,uus,2020,0,2,14
Astangu 20-155,Mustamäe,3,69.8,157900,2262,paneelmaja,uus,2019,0,3,5
Gonsiori 9-16,Kesklinn,3,79.8,350900,4397,kivimaja,uus,-,-,4,7
J. Vilmsi tänav 7-4,Kadriorg,3,112,268000,2394,puitmaja,renoveeritud,2019,0,1,3
Paldiski mnt 21-13,Kesklinn,2,63.2,184000,2911,paneelmaja,uus,2019,0,4,5
Rõugu tn 24-17,Haabersti,3,70,144900,2070,kivimaja,uus,2021,0,3,4
Mere pst 8,Kesklinn,3,90,189900,2110,kivimaja,renoveeritud,1949,70,2,4
Pille 9/2-44,Kesklinn,3,79.2,211900,2676,paneelmaja,uus,2020,0,3,6
Rõugu 22-10,Haabersti,2,54.8,113900,2078,kivimaja,uus,2020,0,2,4
Gonsiori 29-5,Kesklinn,2,72.8,209000,2871,kivimaja,uus,2019,0,1,6
Paasiku 4,Lasnamäe,3,65,91000,1400,paneelmaja,keskmises seisukorras,1992,27,5,9
Kungla 45/1,Põhja-Tallinn,2,56,119000,2125,kivimaja,renoveeritud,1908,111,1,2
Soodi 4-20,Põhja-Tallinn,2,49.7,136900,2755,kivimaja,uus,2020,0,4,5
Uueristi 11,Nõmme,4,72.2,135000,1870,kivimaja,keskmises seisukorras,1980,39,4,9
Pae 23,Lasnamäe,2,53.4,85000,1592,kivimaja,renoveeritud,1970,49,1,5
Sütiste tee 36,Mustamäe,2,43.5,67900,1561,paneelmaja,vajab renoveerimist,1969,50,1,5
Raadiku 5,Lasnamäe,2,45.9,76000,1656,paneelmaja,heas korras,1983,36,2,5
Võidujooksu 7-2,Lasnamäe,3,61.6,134290,2180,kivimaja,uus,2020,0,1,7
Jahu 6-6/1-59,Põhja-Tallinn,3,63.7,218000,3422,paneelmaja,uus,2019,0,3,-
Ehitajate tee 91/2-5,Mustamäe,2,37,81900,2214,kivimaja,uus,2020,0,2,8
Päevalille 4-97,Haabersti,3,50.8,137900,2715,paneelmaja,uus,2020,0,13,15
Vesivärava 50-49,Kadriorg,3,88.6,231500,2612,kivimaja,-,-,-,7,9
Võidujooksu 7-62,Lasnamäe,2,44.4,111290,2507,kivimaja,uus,2020,0,7,7
Päevalille 2-14,Haabersti,2,43.4,110900,2555,paneelmaja,uus,2020,0,3,4
Veerenni 36a/1-3,Kesklinn,4,118,339900,2881,paneelmaja,uus,2020,0,3,3
Meeliku 23/1,Lasnamäe,2,65.1,126000,1935,paneelmaja,heas korras,2011,8,2,5
Raekoja plats 8,Vanalinn,2,58,250000,4310,-,-,-,-,5,6
Härma 5,Lasnamäe,3,64.9,91000,1402,paneelmaja,-,1980,39,4,9
Maakri 44,Kesklinn,2,60,143800,2397,kivimaja,renoveeritud,1955,64,1,4
Õismäe tee 144,Haabersti,3,49.3,87900,1783,-,-,-,-,9,9
Tagala 10-31,Haabersti,3,71,138000,1944,kivimaja,uus,2019,0,4,4
J. Koorti 9,Lasnamäe,3,66.7,98500,1477,-,-,1980,39,5,5
Roseni 12,Kesklinn,5,218,699000,3206,paneelmaja,heas korras,2007,12,7,7
Võistluse 6-19,Kesklinna,3,70.7,189100,2675,kivimaja,uus,2019,0,6,14
Ranna tee,Pirita,4,65,225000,3462,-,renoveeritud,-,-,,-
Lesta tn 10/3-48,Haabersti,3,102.4,343040,3350,paneelmaja,uus,2019,0,2,3
Virbi 11,Lasnamäe,1,32.7,63000,1927,paneelmaja,-,1981,38,5,5
J. Kappeli 6/2,Kesklinn,1,19.5,57900,2969,puitmaja,renoveeritud,1928,91,1,3
Energia 4,Kristiine,2,39.5,75900,1922,paneelmaja,renoveeritud,1962,57,1,5
Priisle tee 4/2,Lasnamäe,1,30.7,74900,2440,kivimaja,uus,2007,12,2,9
Vene 1,Vanalinn,2,43.6,159000,3647,kivimaja,-,1920,99,4,4
Liikuri 46,Lasnamäe,3,64.9,95800,1476,-,keskmises seisukorras,1987,32,1,9
Tagala 10-5,Haabersti,3,66.8,127000,1901,kivimaja,uus,2019,0,1,4
A.H. Tammsaare tee 89a-46,Mustamäe,4,84.6,179300,2119,-,uus,2019,0,3,6
Puhkekodu tee 69,Pirita,1,43.9,89999,2050,kivimaja,heas korras,1983,36,3,3
Paide 16,Kesklinn,1,22.1,52000,2353,puitmaja,renoveeritud,1915,104,1,2
Tuletorni tn 10-1,Lasnamäe,2,52.2,130000,2490,kivimaja,uus,2021,0,1,3
Sõle 47,Põhja-Tallinn,2,48.9,84000,1718,kivimaja,vajab renoveerimist,1976,43,8,9
Astangu 20-135,Haabersti,3,62.6,130400,2083,paneelmaja,uus,2019,0,1,5
Vihuri 4,Põhja-Tallinn,1,37.8,129000,3413,kivimaja,-,2012,7,5,5
Tuha 5,Lasnamäe,2,36.1,75990,2105,kivimaja,heas korras,1963,56,2,3
Valgevase 18,Põhja-Tallinn,2,46.9,142900,3047,-,uus,1949,70,2,2
Alvari 35,Lasnamäe,3,60.2,92000,1528,paneelmaja,-,1994,25,5,7
Lesta tn 10/1-9,Haabersti,2,67.5,246375,3650,paneelmaja,uus,2019,0,2,3
Ussilaka tee 16-2,Pirita,4,161.1,315000,1955,kivimaja,heas korras,2006,13,,-
Vanaturu kael 8-3,Vanalinn,3,108.6,255000,2348,-,vajab renoveerimist,-,-,2,4
Õismäe tee 118,Haabersti,3,65.6,83999,1280,paneelmaja,san. remont tehtud,-,-,1,9
Magdaleena 3,Kesklinn,3,98.8,199000,2014,-,-,-,-,5,5
Järve 2-204,Kristiine,2,43.8,143400,3274,paneelmaja,uus,2020,0,15,18
Kärneri,Haabersti,4,88.1,174000,1975,kivimaja,-,2007,12,5,8
Peterburi tee 26,Lasnamäe,2,43.5,72900,1676,paneelmaja,renoveeritud,-,-,5,5
Toompuiestee/ Sügise,Kesklinn,5,108.9,209000,1919,kivimaja,-,1929,90,4,5
Aiandi 8/2-12,Mustamäe,4,74.2,175990,2372,kivimaja,uus,2021,0,3,6
Asunduse 15,Kesklinn,5,111.6,190000,1703,kivimaja,renoveeritud,1973,46,1,6
Kärberi 23,Lasnamäe,1,33,69900,2118,paneelmaja,renoveeritud,-,-,1,9
Valge tn 16,Kadriorg,3,80.6,233000,2891,kivimaja,-,2019,0,5,5
Pille 9/4-86,Kesklinn,2,51.8,149900,2894,paneelmaja,uus,2020,0,3,4
Akadeemia tee 4,Mustamäe,2,45.2,87500,1936,paneelmaja,renoveeritud,1965,54,3,5
Hanijala 3,Haabersti,4,89.1,163000,1829,kivimaja,-,2008,11,3,4
Nafta 12,Kesklinn,3,48,130000,2708,-,keskmises seisukorras,-,-,2,4
Graniidi 7,Põhja-Tallinn,2,53,95900,1809,puitmaja,renoveeritud,-,-,2,2
Tammsaare 119,Mustamäe,2,44,74900,1702,paneelmaja,san. remont tehtud,-,-,3,5
Pallasti 31,Lasnamäe,3,55.8,89000,1595,paneelmaja,-,-,-,4,5
Kiili 20,Mustamäe,3,64.1,107000,1669,kivimaja,renoveeritud,1986,33,13,14
Võistluse 3-11,Kesklinn,4,74.1,196900,2657,kivimaja,uus,2020,0,3,6
Kesklinn,Kesklinn,1,29.3,80000,2730,-,renoveeritud,1964,55,4,4
UUS-TATARI 23,Kesklinn,2,49,166000,3388,paneelmaja,heas korras,2005,14,6,7
Staapli 8-4,Põhja-Tallinn,4,132.6,423000,3190,paneelmaja,uus,2018,1,2,6
Mäekalda 10B,Kadriorg,4,117.5,320000,2723,kivimaja,renoveeritud,1998,21,3,3
Jalami tn 1-82,Haabersti,3,76.8,170900,2225,paneelmaja,uus,2019,0,7,8
Narva mnt 19,Kesklinn,4,74,147000,1986,kivimaja,vajab renoveerimist,1979,40,8,6
Kadaka pst 146/2,Mustamäe,2,52.8,130000,2462,kivimaja,-,2017,2,3,8
Tuukri 1b,Kesklinn,3,68.1,222000,3260,paneelmaja,uus,2019,0,5,6
Uue Maailma 24,Kesklinn,2,55.3,171500,3101,-,-,2006,13,4,6
Järve 2-214,Kristiine,3,65.4,203900,3118,paneelmaja,uus,2020,0,16,18
Pille 9/1-21,Kesklinn,2,49.1,143900,2931,paneelmaja,uus,2020,0,2,4
Hermanni tn 2,Kesklinn,3,76.7,145000,1890,kivimaja,keskmises seisukorras,1999,20,6,6
Võidujooksu 1,Kesklinn,4,96.3,237000,2461,paneelmaja,uus,2014,5,3,5
Merekalju tänav 5-5,Haabersti,4,124.1,420000,3384,kivimaja,uus,2020,0,2,3
Puhangu 53,Põhja-Tallinn,2,43.7,69500,1590,paneelmaja,san. remont tehtud,1972,47,5,5
Suur-Karja 2,Vanalinn,4,171.8,564000,3283,kivimaja,renoveeritud,-,-,2,5
Suur-Patarei tn 5,Põhja-Tallinn,2,48.3,129500,2681,kivimaja,heas korras,2000,19,4,4
Õle 10,Põhja-Tallinn,5,125.6,180000,1433,puitmaja,renoveeritud,1910,109,1,2
Kalaranna 8/1-6,Põhja-Tallinn,3,80,287000,3588,paneelmaja,uus,2020,0,2,5
Pärnu mnt 125,Kesklinn,1,32.1,74000,2305,kivimaja,renoveeritud,-,-,4,4
